Station	ObsDate	Level (m)	MeanDischarge (ml/d)	Discharge (ml/d)	Temp ( C )	EC @ 25C (us/cm)
409017	5-Feb-09	2.766	12016.96	12921.25	26.104	57.13
409204C	6-Feb-09	0.99	4495.623	4482.104	29.592	53.75
219018	6-Feb-09	-0.247	0	0
409017	6-Feb-09	2.85	12948.16	12953.46	26.204	57.688
409204C	7-Feb-09	0.987	4482.584	4529.202	29.523	54.198
219018	7-Feb-09	-0.247	0	0
409017	7-Feb-09	2.832	12751.79	12298.66	26.292	56.891
409204C	8-Feb-09	1.01	4623.3	4717.61	29.371	54
219018	8-Feb-09	-0.247	0	0
409017	8-Feb-09	2.787	12250.68	12197.27	25.967	54.172
409204C	9-Feb-09	1.043	4849.606	4966.026	28.697	53.656
219018	9-Feb-09	-0.247	0	0
409017	9-Feb-09	2.758	11934.6	11558.41	25.753	53.297
409204C	10-Feb-09	1.069	5027.186	5115.821	26.839	54
219018	10-Feb-09	-0.247	0	0
409017	10-Feb-09	2.753	11879.14	11863.83	25.748	52.792
409204C	11-Feb-09	1.088	5155.57	5197.25	25.35	54
219018	11-Feb-09	-0.246	0	0
409017	11-Feb-09	2.765	12010.92	12442.44	25.55	52.188
409204C	12-Feb-09	1.101	5247.334	5298.411	24.083	53.667
219018	12-Feb-09	-0.247	0	0
409017	12-Feb-09	2.807	12479.89	12454.25	24.833	52.479
409204C	13-Feb-09	1.115	5341.475	5372.075	23.583	53.583
219018	13-Feb-09	-0.248	0	0
409017	13-Feb-09	2.806	12468.03	12485.76	23.96	51.229
409204C	14-Feb-09	1.128	5424.43	5465.366	23.333	53
219018	14-Feb-09	-0.248	0	0
409017	14-Feb-09	2.774	12106.49	11358.97	23.417	50.698
409204C	15-Feb-09	1.138	5488.884	5505.552	23.8	53
219018	15-Feb-09	-0.248	0	0
409017	15-Feb-09	2.699	11283.06	11213.83	23.644	50.771
409204C	16-Feb-09	1.146	5544.16	5571.936	24.067	52.583
219018	16-Feb-09	-0.247	0	0
409017	16-Feb-09	2.7	11301.17	11471.27	23.4	51
409204C	17-Feb-09	1.149	5563.634	5565.066	24.424	52.333
219018	17-Feb-09	-0.243	0	0
409017	17-Feb-09	2.721	11525.66	11569	23.34	50.104
409204C	18-Feb-09	1.157	5619.547	5670.678	24.681	52.583
219018	18-Feb-09	-0.206	0	0
409017	18-Feb-09	2.72	11510.47	11311.23	23.439	49.417
409204C	19-Feb-09	1.172	5717.402	5756.116	24.842	52.583
219018	19-Feb-09	-0.157	0	0
409017	19-Feb-09	2.696	11252.64	11142.32	23.4	49.417
409204C	20-Feb-09	1.183	5791.2	5808.478	24.933	52.167
219018	20-Feb-09	-0.093	0	0
409017	20-Feb-09	2.681	11088.36	11062.88	23.358	49.167
409204C	21-Feb-09	1.187	5815.127	5834.807	24.908	51.583
219018	21-Feb-09	-0.064	0	0
409017	21-Feb-09	2.694	11226.56	11537.25	23.278	49.005
409204C	22-Feb-09	1.192	5850.977	5860.703	24.4	51
219018	22-Feb-09	-0.02	0	0
409017	22-Feb-09	2.722	11536.13	11537.25	23.593	48.146
409204C	23-Feb-09	1.198	5888.596	5906.601	24.292	51.583
219018	23-Feb-09	0.021	0	0
409017	23-Feb-09	2.72	11520.16	11504.23	23.798	48.917
409204C	24-Feb-09	1.202	5913.932	5900.082	24.233	52.25
219018	24-Feb-09	0.046	0	0
409017	24-Feb-09	2.721	11523.67	11483.13	23.338	47.042
409204C	25-Feb-09	1.206	5940.869	5986.724	23.542	53.75
219018	25-Feb-09	0.053	0	0
409017	25-Feb-09	2.721	11528.02	11558.41	23.041	47.042
409204C	26-Feb-09	1.223	6055.816	6099.318	23.242	55.083
219018	26-Feb-09	0.055	0	0
409017	26-Feb-09	2.723	11547.6	11602.13	22.908	45.542
409204C	27-Feb-09	1.234	6129.162	6139.283	23.408	55.5
219018	27-Feb-09	0.045	0	0
409017	27-Feb-09	2.728	11605.12	11602.13	22.967	44.708
409204C	28-Feb-09	1.24	6163.335	6178.778	23.817	54.25
219018	28-Feb-09	0.033	0	0
409017	28-Feb-09	2.714	11453.5	11164.29	23.102	46.188
409204C	1-Mar-09	1.239	6155.675	6152.187	23.767	53.25
219018	1-Mar-09	0.017	0	0
409017	1-Mar-09	2.684	11119.79	11086.13	23.417	46.917
409204C	2-Mar-09	1.237	6148.455	6132.425	23.475	52
219018	2-Mar-09	0.004	0	0
409017	2-Mar-09	2.683	11111.87	11097.08	22.987	44.813
409204C	3-Mar-09	1.229	6090.398	6092.852	23.496	51.417
219018	3-Mar-09	0.024	0	0
409017	3-Mar-09	2.692	11209.14	11364.86	22.972	44.833
409204C	4-Mar-09	1.228	6087.296	6106.185	23.396	51.333
219018	4-Mar-09	0.037	0	0
409017	4-Mar-09	2.683	11110.59	10664.11	22.757	41.589
409204C	5-Mar-09	1.226	6072.396	6079.512	22.384	52.271
219018	5-Mar-09	0.048	0	0
409017	5-Mar-09	2.612	10308.47	9629.412	22.473	39.604
409204C	6-Mar-09	1.23	6096.688	6112.647	21.4	50.583
219018	6-Mar-09	0.057	0	0
409017	6-Mar-09	2.536	9423.867	9288.1	21.876	38.224
409204C	7-Mar-09	1.232	6115.472	6106.185	21.167	50
219018	7-Mar-09	0.049	0	0
409017	7-Mar-09	2.535	9418.73	9785.934	21.766	37.958
409204C	8-Mar-09	1.23	6099.484	6092.852	21.358	49.75
219018	8-Mar-09	0.031	0	0
409017	8-Mar-09	2.562	9738.154	9725.779	21.704	38.729
409204C	9-Mar-09	1.228	6088.438	6079.512	21.467	48.417
219018	9-Mar-09	0.01	0	0
409017	9-Mar-09	2.559	9706.951	9714.068	21.517	39.688
409204C	10-Mar-09	1.227	6081.331	6073.041	21.591	48.333
219018	10-Mar-09	0.004	0	0
409017	10-Mar-09	2.559	9702.34	9677.524	21.956	39.917
409204C	11-Mar-09	1.226	6075.245	6152.187	21.602	49.354
219018	11-Mar-09	-0.001	0	0
409017	11-Mar-09	2.56	9718.266	9906.911	22.2	40.521
409204C	12-Mar-09	1.224	6062.256	5986.724	21.843	49.365
219018	12-Mar-09	0.037	0	0
409017	12-Mar-09	2.597	10141.95	10577.43	22.203	40.729
409204C	13-Mar-09	1.203	5922.568	5847.958	22.074	48.333
219018	13-Mar-09	0.049	0	0
409017	13-Mar-09	2.633	10552.73	10566.79	21.415	39.563
409204C	14-Mar-09	1.186	5809.724	5756.116	22.6	48.75
219018	14-Mar-09	0.052	0	0
409017	14-Mar-09	2.626	10480.19	10263.64	21.894	38.563
409204C	15-Mar-09	1.169	5700.031	5617.945	22.753	49
219018	15-Mar-09	0.067	0	0
409017	15-Mar-09	2.6	10196.94	10150.04	21.975	39.13
409204C	16-Mar-09	1.146	5543.637	5478.771	21.533	49.5
219018	16-Mar-09	0.104	0	0
409017	16-Mar-09	2.589	10070.62	9991.531	21.357	39.063
409204C	17-Mar-09	1.127	5416.049	5352.051	20.775	49
219018	17-Mar-09	0.119	0	0
409017	17-Mar-09	2.581	9969.706	9918.762	21.092	37.875
409204C	18-Mar-09	1.106	5275.877	5190.651	20.45	48.5
219018	18-Mar-09	0.117	0	0
409017	18-Mar-09	2.559	9702.991	9310.91	21.143	36.568
409204C	19-Mar-09	1.078	5090.985	5014.019	20.519	49.167
219018	19-Mar-09	0.102	0	0
409017	19-Mar-09	2.496	8956.753	8325.721	21.061	37.458
409204C	20-Mar-09	1.056	4938.992	4856.172	21.017	49.969
219018	20-Mar-09	0.082	0	0
409017	20-Mar-09	2.44	8303.226	8511.203	20.835	38.271
409204C	21-Mar-09	1.028	4745.601	4641.062	21.525	50.208
219018	21-Mar-09	0.053	0	0
409017	21-Mar-09	2.459	8517.099	8499.806	20.942	40.479
409204C	22-Mar-09	0.997	4539.281	4450.444	21.91	51.073
219018	22-Mar-09	0.024	0	0
409017	22-Mar-09	2.452	8436.218	8394.813	21.44	42.125
409204C	23-Mar-09	0.964	4357.956	4262.809	22.339	52.396
219018	23-Mar-09	-0.002	0	0
409017	23-Mar-09	2.45	8417.97	8522.61	21.329	42.313
409204C	24-Mar-09	0.929	4169.248	4113.567	22.123	52.104
219018	24-Mar-09	-0.031	0	0
409017	24-Mar-09	2.452	8442.421	8394.813	21.303	43.161
409204C	25-Mar-09	0.903	4023.131	3954.349	21.981	50.875
219018	25-Mar-09	-0.065	0	0
409017	25-Mar-09	2.442	8324.127	8279.382	21.056	43.146
409204C	26-Mar-09	0.878	3876.197	3808.137	22.358	51.333
219018	26-Mar-09	-0.093	0	0
409017	26-Mar-09	2.45	8415.95	8722.267	20.869	42.859
409204C	27-Mar-09	0.851	3715.097	3626.89	22.4	52.208
219018	27-Mar-09	-0.104	0	0
409017	27-Mar-09	2.456	8486.47	8153.792	20.886	44.5
409204C	28-Mar-09	0.821	3536.073	3451.473	21.805	53.344
219018	28-Mar-09	-0.122	0	0
409017	28-Mar-09	2.405	7911.949	7137.658	20.846	46.036
409204C	29-Mar-09	0.793	3357.718	3262.693	21.543	55.771
219018	29-Mar-09	-0.143	0	0
409017	29-Mar-09	2.319	7021.347	6977.009	20.819	46.75
409204C	30-Mar-09	0.764	3173.371	3073.623	21.447	55.917
219018	30-Mar-09	-0.168	0	0
409017	30-Mar-09	2.312	6949.455	6948.036	20.969	46.75
409204C	31-Mar-09	0.734	2968.548	2881.561	21.252	54.948
219018	31-Mar-09	-0.195	0	0
409017	31-Mar-09	2.307	6899.906	6879.513	20.954	44.417
409204C	1-Apr-09	0.713	2821.487	2773.949	21.558	54
219018	1-Apr-09	-0.173	0	0
409017	1-Apr-09	2.331	7152.066	8499.806	20.921	45
409204C	2-Apr-09	0.698	2721.779	2667.749	21.833	53.5
219018	2-Apr-09	-0.098	0	0
409017	2-Apr-09	2.497	8972.182	10741.82	21.167	45.766
409204C	3-Apr-09	0.677	2609.139	2552.696	22.194	54.458
219018	3-Apr-09	0.04	0	0
409017	3-Apr-09	2.638	10596.43	9263.902	21.505	47.51
409204C	4-Apr-09	0.653	2470.194	2409.639	22.102	>55
219018	4-Apr-09	0.166	0.198	0.371
409017	4-Apr-09	2.472	8684.356	7817.866	21.569	49.823
409204C	5-Apr-09	0.637	2373.525	2358.659	20.633	51.75
219018	5-Apr-09
409017	5-Apr-09	2.389	7734.209	7744.308	21.125	52.604
409204C	6-Apr-09	0.637	2368.798	2390.783	20.125	51.5
219018	6-Apr-09	--	--	0.239
409017	6-Apr-09	2.403	7883.954	7861.138	20.715	52.688
409204C	7-Apr-09	0.637	2372.584	2358.659	19.157	50.24
219018	7-Apr-09	0.166	0.159	0.119
409017	7-Apr-09	2.39	7747.374	7649.435	20.281	44.875
409204C	8-Apr-09	0.628	2310.373	2271.601	18.583	49.417
219018	8-Apr-09	0.162	0.105	0.091
